[2286.84,22179.3]
[3406.97,13165.3]
[3396.33,13187.8]
[3403.75,13194.5]
[3395.22,13227.1]
[3410.91,13200.4]
[3412.53,13241.9]
[3405.01,13235.4]
[3406.78,13276.1]
[3412.07,13281.3]
[3411.32,14212.5]
[3401.6,14226.8]
[3414.62,14263.7]
[3402.39,14285.2]
[3417.28,18152.9]
[3391,21386.5]
[3418.62,21372.4]
[3434.88,11691.4]
[3439.29,11694.6]
[3449.81,12619.4]
[3437.41,12649.9]
[3427.58,12635.6]
[3442.86,12658.7]
[3445.18,12871.6]
[3436.09,12898.9]
[3428.69,12916.1]
[3431.72,12907.9]
[3440.99,12948.2]
[3431.37,12978]
[3431.89,12964.1]
[3421.82,13006.2]
[3432.5,13001.5]
[3448.25,13001]
[3434.16,13026]
[3447.44,13056.2]
[3422.2,13066.3]
[3428.51,13094]
[3442.65,13097.9]
[3442.58,13123.1]
[3424.64,13121.8]
[3447.99,13153.5]
[3425.9,13176.4]
[3445.17,13188.1]
[3430.14,13219.7]
[3438.17,13242.9]
[3444.97,13235.6]
[3425.92,13256.8]
[3425.51,13230.4]
[3432.23,13262.8]
[3444.67,13278.4]
[3438.13,13270.7]
[3432.38,13307.8]
[3424.46,14196.8]
[3431.36,14214.7]
[3441.11,14196]
[3422.98,14241.9]
[3424.89,14234.2]
[3433.63,17869.2]
[3447.19,17886.9]
[3430.1,17882.4]
[3431.59,20247.2]
[3454.98,11691.3]
[3457.34,11840.9]
[3455.79,11856.2]
[3463.78,12583.5]
[3473.26,12604.4]
[3459.93,12630]
[3467.16,12643.9]
[3459.39,12646.9]
[3455.44,12679.1]
[3463.45,12676.3]
[3473.55,12704]
[3462.59,12693.2]
[3452.59,12727.7]
[3468.44,12767.5]
[3478.71,12790.3]
[3472.48,12791.9]
[3457.3,12824.7]
[3461.05,12917]
[3464.86,12960.1]
[3473.53,12976.2]
[3479.43,12999.9]
[3455.69,13001.5]
[3465.69,13000.9]
[3478.18,13040.7]
[3467.81,13075.8]
[3454.69,13063.2]
[3456.5,13106.4]
[3475.38,13125.7]
[3476.86,13158.9]
[3455.15,13149]
[3467.33,13165.5]
[3457.82,13165.7]
[3458.12,13141.5]
[3459.88,13214.2]
[3470.73,13225.2]
[3478.62,13200.1]
[3462.67,13206.1]
[3464.51,13254.9]
[3477.4,13230.9]
[3450.69,13285.6]
[3466.93,13276.1]
[3471.18,13314.3]
[3465.91,13307.2]
[3454.96,13341.7]
[3475.73,13323.1]
[3480.79,13331.8]
[3457.2,13342.6]
[3453.74,13337]
[3462.82,13358.2]
[3461,20272.1]
[3507.59,10101.3]
[3505.23,11731.5]
[3495.21,11756.7]
[3492.18,12420.4]
[3494.45,12476.3]
[3484.25,12477.7]
[3482.33,12598.8]
[3506.74,12583.2]
[3488.09,12629.3]
[3485.14,12621.3]
[3502,12622.1]
[3504.01,12652.7]
[3485.7,12673.3]
[3495.42,12687.7]
[3480.35,12664.1]
[3506.02,12713.1]
[3493.45,12742.8]
[3483.48,12728.4]
[3504.51,12765.1]
[3508.32,12835.5]
[3496.67,12812.2]
[3482.96,12819.5]
[3492.07,12891.7]
[3496.26,12900.5]
[3497.29,12908.6]
[3498.7,12950.1]
[3485.68,12951.8]
[3503.79,12970.7]
[3493.98,12972.1]
[3484.92,12973.9]
[3496.21,13017.5]
[3492,12997.6]
[3495.9,13048.1]
[3487.79,13063.2]
[3510.04,13058.3]
[3482.59,13133.6]
[3503.86,13159.2]
[3484.56,13175]
[3486.9,13201.9]
[3502.13,13228.2]
[3505.06,13254.4]
[3483.86,13238.4]
[3479.52,13271.1]
[3504.71,13290.3]
[3489,13294]
[3501.65,13328.7]
[3491.41,13341.1]
[3502.84,14062.1]
[3500.32,14097.9]
[3487.59,14100.9]
[3488.99,14111.2]
[3486.01,14180.2]
[3497.02,14179.6]
[3508.45,19971.9]
[3505.61,21478.3]
[3519.93,10115.1]
[3534.3,10213.1]
[3523.83,10273.4]
[3526.48,10265.4]
[3529.15,11775.7]
[3517.29,11783.6]
[3522.46,12411.8]
[3512.04,12414.7]
[3534.86,12405.2]
[3513.05,12471.6]
[3523.14,12473.1]
[3523.17,12605]
[3535.47,12631.1]
[3514.59,12642]
[3534.1,12665.4]
[3519.57,12674.8]
[3532.32,12700.5]
[3522.73,12739.7]
[3523.07,12778.4]
[3539.92,12810.3]
[3517.46,12853.9]
[3518.25,12885.7]
[3527.85,12913.1]
[3523.38,12906.5]
[3528.14,12942]
[3527.51,12952.6]
[3529.16,12963.2]
[3529.96,12970.3]
[3536.99,13006.6]
[3510.11,13029.6]
[3512.25,13091.7]
[3532.43,13101.1]
[3526.75,13105.3]
[3536.13,13142.7]
[3539.84,13158.7]
[3516.36,13186.8]
[3524.99,13180]
[3530.92,13196]
[3537.27,13204.1]
[3535.51,13228.7]
[3530.52,13211.3]
[3534.45,13282.7]
[3512.44,13296.6]
[3517.12,13313]
[3524.58,13306.5]
[3511.47,13319.7]
[3517.08,13378.6]
[3519.27,13630.1]
[3532.13,14059.8]
[3517.36,14068.1]
[3539.53,14044.1]
[3539.15,14087.1]
[3520.58,14118.6]
[3533.61,14156.6]
[3532.23,14164.5]
[3523.54,14263.7]
[3522.15,14512.2]
[3536.83,14538.7]
[3526.05,14522.4]
[3533.45,17890.8]
[3532.55,19997.2]
[3541.19,20013.4]
[3542.69,10289.7]
[3562.88,11631.2]
[3565.46,11609.5]
[3541.14,11850.4]
[3542.1,12379.6]
[3555.34,12398.3]
[3540.66,12403.4]
[3567.7,12465.4]
[3559.84,12500.8]
[3564.78,12509.6]
[3554.2,12525.8]
[3543.04,12659.8]
[3557.82,12679.9]
[3548.95,12727.2]
[3561.93,12748.1]
[3554.31,12720.7]
[3544.71,12776]
[3547.49,12801.3]
[3563.7,12809.9]
[3567.47,12867.1]
[3542.44,12896.4]
[3561.01,12874.4]
[3546.51,12935]
[3553.06,12946.8]
[3547.11,12992.5]
[3564.72,12992]
[3548.82,13056.6]
[3540.55,13073.5]
[3556.51,13074.6]
[3564.39,13115.9]
[3556.66,13113.9]
[3546.03,13166.6]
[3557.94,13140.3]
[3566.09,13157.5]
[3552.11,13172.3]
[3565.14,13189.2]
[3555.84,13178.9]
[3554.82,13246.1]
[3569.9,13235.2]
[3546.11,13252.4]
[3560.27,13240.5]
[3560.39,13274.4]
[3553.15,13278.6]
[3542.06,13290.2]
[3566.21,13347.9]
[3538.89,13349.9]
[3540.65,13378.7]
[3547.76,13402]
[3569.58,13383.1]
[3562.23,13390]
[3565.07,13605.7]
[3560.11,13974.5]
[3565.96,13977.6]
[3547.38,14090]
[3547.5,14117.2]
[3541.13,14156.4]
[3559.54,14173.9]
[3551.73,14172.2]
[3560.35,14165.8]
[3560.76,14342.3]
[3555.14,14383.9]
[3563.46,14462.5]
[3542.6,14545.8]
[3567.14,14543.3]
[3561.89,14571.1]
[3555.53,14563.6]
[3567.39,14577]
[3549.85,14606.7]
[3575.45,10174.2]
[3581.87,10203.2]
[3570.31,10243.4]
[3576.28,10263.1]
[3583.98,10309.2]
[3579.98,10784.4]
[3597.05,10869]
[3596.29,11562.5]
[3577.83,11600.1]
[3600.38,11609.9]
[3589.46,11616.4]
[3598.93,11662.8]
[3580.11,11816.1]
[3588.18,11811.5]
[3572.07,11901]
[3577.1,12399.3]
[3573.06,12474.1]
[3577.09,12481.8]
[3572.09,12696.2]
[3569.97,12743.5]
[3600.23,12794]
[3571.45,12803]
[3587.15,12814.1]
[3577.36,12823.7]
[3596.58,12827.5]
[3570.09,12855.9]
[3585.57,12865.7]
[3591.73,12860.4]
[3599.03,12877]
[3581.92,12892.5]
[3589.7,12886]
[3579.16,12925.3]
[3571.9,12932]
[3573.48,12976]
[3593.39,12976.1]
[3585.47,12967.3]
[3597.27,13008.1]
[3585.56,13020.9]
[3594.03,13034.8]
[3572.95,13040]
[3592.7,13080.7]
[3600.72,13085.2]
[3571.39,13098.8]
[3573.86,13118.8]
[3595.73,13116.2]
[3588.98,13151.3]
[3574.52,13198.1]
[3595.82,13258.3]
[3580.05,13266.3]
[3582.1,13320.5]
[3577.09,13376.6]
[3582.52,13369.8]
[3576.08,13398.1]
[3582.67,13405.6]
[3585.71,13423.1]
[3597.36,13440.4]
[3581.96,13557.8]
[3573.62,13587.5]
[3571.11,13617.8]
[3591.41,13589.5]
[3577.95,13604.3]
[3571.36,13605]
[3595.87,13827.7]
[3591.46,13940.7]
[3570.92,13935]
[3599,13993.2]
[3601.24,13981.7]
[3571.63,13980.6]
[3600.22,14026.6]
[3600.26,14017.3]
[3599.2,14047.3]
[3599.27,14099.2]
[3589.06,14102.4]
[3582.24,14239.9]
[3586.08,14233.2]
[3571.31,14343.5]
[3583.66,14448.5]
[3576.37,14449.1]
[3591.92,14450.6]
[3575.27,14480.8]
[3588.24,14481.7]
[3581.66,14481.2]
[3593.03,14533]
[3594.72,14549.9]
[3573.88,14551.4]
[3585.69,14564.8]
[3600.35,18016.3]
[3600.49,18223]
[3621.13,10187.6]
[3618.01,10197.6]
[3625.47,10259.5]
[3611.5,10335.4]
[3614.77,10329.9]
[3620.44,10847.2]
[3613.73,10865.4]
[3620.16,10922.9]
[3612.93,11579.4]
[3600.72,11567.1]
[3605.21,11571.7]
[3615.59,11701.1]
[3604.06,11783.2]
[3618.73,12046.2]
[3621.78,12269.8]
[3621.81,12295.5]
[3624.14,12316.4]
[3613.77,12718.6]
[3624.39,12733.6]
[3603.37,12734.8]
[3606.39,12765.5]
[3603.9,12838.8]
[3628.43,12826.2]
[3617.75,12859.6]
[3609.2,12868.3]
[3615.68,12896]
[3621.8,12889.8]
[3603.95,12908.8]
[3609.99,12917.2]
[3607.66,12899.5]
[3627.37,13033.3]
[3629.03,13076.9]
[3603.55,13116.8]
[3610.1,13168.7]
[3609.85,13159.4]
[3609.54,13151.9]
[3617.38,13197]
[3615.73,13187.2]
[3613.84,13177.2]
[3620.12,13205.3]
[3622.75,13213.3]
[3624.79,13237.7]
[3602.96,13310.8]
[3600.54,13334.1]
[3615.25,13325.6]
[3608.58,13361.4]
[3608.25,13515]
[3601.15,13524.6]
[3606.41,13555.7]
[3606.43,13547.5]
[3612.5,13574.2]
[3621.22,13599.3]
[3599.19,13648.3]
[3625.57,13646.8]
[3601.27,13655.4]
[3604.47,13713.2]
[3605.66,13825.2]
[3604.94,13852.9]
[3617.35,13977.9]
[3617.72,13958.2]
[3615.82,14069.1]
[3618.36,14090.3]
[3629.9,14116.9]
[3609.24,14134.4]
[3620.06,14156.7]
[3608.92,14245]
[3628.33,14410.8]
[3602.63,14466]
[3616.03,14521.7]
[3627.52,14561]
[3598.39,17596.8]
[3633.22,10151.4]
[3638.26,10158.7]
[3629.53,10187.3]
[3655.22,10280.1]
[3647.94,10879.8]
[3639.82,10871.4]
[3636.21,11502.7]
[3655.67,11508.1]
[3636.72,11595.8]
[3631.31,11629.6]
[3631.75,11788.4]
[3640.48,11775.8]
[3661.15,11900.8]
[3649.85,11900.6]
[3647.98,12058.8]
[3652.05,12043.8]
[3630.97,12085.6]
[3643.88,12132.7]
[3651.2,12257.2]
[3642.35,12342.6]
[3642.9,12736.8]
[3641.71,12766.1]
[3642.8,12775]
[3634.76,12807.4]
[3649.55,12862.3]
[3651.14,12883.6]
[3651.62,12892.8]
[3651.94,12915.7]
[3630.57,12903.9]
[3635.59,12900.9]
[3653.34,12902.5]
[3635.76,12931.9]
[3647.83,12982.4]
[3642.56,12972.7]
[3658.47,13006.7]
[3650.66,12990.5]
[3651.06,12999.2]
[3645.99,13041.6]
[3646.3,13033.2]
[3647.58,13052.2]
[3637.83,13076.4]
[3648.76,13061.2]
[3647.7,13077.4]
[3654.95,13077.8]
[3654.56,13196.9]
[3637.44,13254.1]
[3642.26,13344.1]
[3645.95,13485.5]
[3652.85,13480.6]
[3656.22,13497.2]
[3634.59,13545.2]
[3641.11,13562]
[3642.39,13570.4]
[3640.85,13592.7]
[3651.05,13589.1]
[3631.81,13594.2]
[3643.1,13735.7]
[3655.46,13732.3]
[3632.02,13737.5]
[3640.24,13772.9]
[3640.82,13780.6]
[3634.21,13801.1]
[3657.54,13951.7]
[3633,13954.1]
[3631.96,14082.6]
[3652.38,14278.1]
[3648.75,14305.1]
[3632.53,14391.8]
[3653.02,14453.3]
[3634.29,14572]
[3630.95,14566.6]
[3653.23,14577.3]
[3637.42,17568.2]
[3633.12,17996.4]
[3649.82,19757.3]
[3665.65,11500.5]
[3660.23,11503.6]
[3662.05,11550.6]
[3682.05,11567.3]
[3687.68,11745.2]
[3675.32,11731.3]
[3680.73,11816.8]
[3661.2,11887.6]
[3677.71,12241.3]
[3668.86,12275.1]
[3679.22,12283]
[3674.48,12287.4]
[3677.78,12356.2]
[3660.04,12349.2]
[3687.6,12459.1]
[3664.31,12826.5]
[3690.57,12834.2]
[3683.95,12852.1]
[3686.07,12845]
[3675.72,12899.9]
[3685.1,12926.9]
[3682.65,12954.4]
[3672.38,12984.7]
[3688.23,12996.5]
[3679.29,13001]
[3663.14,13031.2]
[3677.88,13026.1]
[3687.44,13023.1]
[3667.33,13045.8]
[3687.97,13041.6]
[3685.34,13059.8]
[3670.08,13065.6]
[3670.97,13078.1]
[3688.54,13091.1]
[3686.43,13101.7]
[3686.86,13110.4]
[3685.83,13120.3]
[3683.87,13206]
[3689.63,13214.1]
[3672.69,13245.9]
[3665.12,13250.3]
[3686.39,13240.3]
[3690.19,13452.9]
[3665.87,13464.7]
[3673.59,13472.2]
[3686.44,13483.7]
[3669.43,13504.7]
[3686.68,13523.5]
[3670.98,13539]
[3684.06,13546]
[3665.68,13572.8]
[3669.57,13582.8]
[3688.4,13566.3]
[3680.99,13606.2]
[3684.39,13622.3]
[3669.37,13727.6]
[3667.28,13758.1]
[3681.14,13743.9]
[3667.02,13748.2]
[3670.59,13785.4]
[3675.71,14000.9]
[3677.77,13991.8]
[3685.61,14108.8]
[3663.8,17617.6]
[3687.73,17689.7]
[3682.13,18065.1]
[3686.44,21315.5]
[3694.05,10263.7]
[3716.02,10820]
[3701.1,11436.6]
[3708.55,11478.2]
[3713.41,11534.9]
[3700.54,11523.7]
[3699.15,11595.7]
[3709.56,11587.2]
[3718.48,11609.5]
[3692.83,11657.6]
[3706.59,11658.2]
[3719.95,11673.6]
[3691.99,11724.8]
[3715.81,11761]
[3708.58,11804.8]
[3705.54,11898.8]
[3706.15,11881.4]
[3714.95,11962.9]
[3693.8,12065.2]
[3700.91,12142.6]
[3706.71,12149.4]
[3694.92,12259.6]
[3698.59,12298.8]
[3695.32,12362.3]
[3705.29,12364.1]
[3703.75,12592.3]
[3704.19,12770.2]
[3709.47,12797.7]
[3693.68,12824.1]
[3709.03,12866]
[3700.92,12980.5]
[3701.53,12989.2]
[3690.94,12960.3]
[3704.91,13016.9]
[3695.58,13038.7]
[3711.15,13034.4]
[3719.15,13053.7]
[3707.52,13079.6]
[3694.1,13061.2]
[3708.96,13103.3]
[3692.49,13158.3]
[3706.01,13203.6]
[3716.4,13219.4]
[3701.17,13230.5]
[3709.2,13254.8]
[3693.22,13235.4]
[3692.24,13264.4]
[3703.96,13309.8]
[3711.5,13321.2]
[3703.55,13362.3]
[3717.34,13391.2]
[3703.48,13437.1]
[3704.57,13499]
[3719.31,13525.9]
[3709.76,13505.7]
[3693.42,13510]
[3708.68,13539.4]
[3694.86,13557.5]
[3707.71,13602.5]
[3716.69,13624]
[3718.1,13636.4]
[3706.59,13655.9]
[3711.67,13710.3]
[3690.62,13718]
[3703.82,13712.4]
[3713.5,13734.1]
[3701.2,13750.9]
[3703.05,13761.9]
[3708.89,13771.2]
[3711.51,13778.6]
[3708.71,13799.8]
[3718.91,13826.4]
[3713.1,13860.7]
[3712.29,13832.1]
[3702.59,13866.6]
[3708.43,13902.7]
[3705.31,13912.4]
[3700.52,13920.7]
[3712.42,14421.1]
[3709.91,17720.7]
[3713.41,17700]
[3706.5,17965.7]
[3711.74,17956.7]
[3704.31,18063.4]
[3711.15,18080]
[3746.75,11110.7]
[3744.01,11100.3]
[3737.64,11416.4]
[3722.71,11524]
[3733.25,11586.4]
[3721.26,11756]
[3738.27,11738.8]
[3740.58,11796.5]
[3725.69,11799.2]
[3730.64,11886.2]
[3721.29,11949]
[3739.47,12041.9]
[3723.32,12114.1]
[3732.07,12229.6]
[3721.83,12238.5]
[3746.55,12253.5]
[3748.48,12247.2]
[3731.36,12301]
[3737.88,12309.2]
[3730.68,12333.8]
[3739.7,12446.5]
[3720.04,12452.5]
[3738.15,12711.2]
[3744.18,12769.8]
[3733.75,12806.6]
[3725.87,12805.1]
[3744.59,12809.3]
[3726.08,12831.3]
[3748.13,13004.4]
[3723.32,13066.9]
[3727.29,13074.8]
[3738.88,13103.7]
[3743.3,13115.7]
[3721.3,13154.4]
[3740.26,13170]
[3736.62,13142.6]
[3739.89,13178.5]
[3722.32,13243.5]
[3747.38,13260.6]
[3729.28,13240.4]
[3731.98,13276.3]
[3741.06,13284]
[3745.56,13287.9]
[3736.53,13280.2]
[3732.69,13304.8]
[3750.08,13291.8]
[3729.91,13338.4]
[3745.62,13323.5]
[3725.42,13428.1]
[3725.51,13440.1]
[3727.7,13472.6]
[3722.43,13484.7]
[3726.34,13517.9]
[3737.6,13539.2]
[3739.16,13548.9]
[3719.99,13565.8]
[3747.96,13594.5]
[3725.36,13604.1]
[3730.82,13600.6]
[3729.53,13638.5]
[3724.21,13631.4]
[3734.56,13645.2]
[3737.51,13670.9]
[3746.45,13664.5]
[3731.01,13675.9]
[3729.39,13705.5]
[3719.45,13731.5]
[3735.98,13729.5]
[3727.84,13759.1]
[3748.14,13758.3]
[3717.69,13796.5]
[3748.26,13816.4]
[3737.53,13892.2]
[3726.9,13933.7]
[3729.34,14009.1]
[3736.85,14026.7]
[3722.34,14094.9]
[3727.3,14415.9]
[3745.97,17656]
[3744.18,17776.2]
[3726.8,17795]
[3741.09,17806.5]
[3732.96,17948.4]
[3765.29,10462.6]
[3768.1,10473.3]
[3778.25,10694]
[3773.52,11066.6]
[3768.28,11058.2]
[3765.59,11065.9]
[3778.83,11075.4]
[3774.65,11083]
[3772.51,11337.7]
[3773.36,11358.3]
[3766.38,11387.7]
[3775.96,11373.2]
[3753.72,11427.9]
[3780.82,11408.3]
[3768.56,11403.3]
[3760.11,11480.3]
[3755.92,11502]
[3776.99,11499.1]
[3777.85,11591.6]
[3770.3,11682.7]
[3778.18,11702.9]
[3777.03,11733.2]
[3757.25,11877.4]
[3751.7,11882.9]
[3750.32,11907.5]
[3755.12,12094.5]
[3771.91,12111.1]
[3764.4,12174.6]
[3765.66,12188.6]
[3777.3,12600]
[3753.23,12713.1]
[3763.08,12711]
[3769.49,12749.8]
[3774.61,12769]
[3779.24,12785.2]
[3763.91,12812.6]
[3752.27,12813]
[3748.25,13004.4]
[3779.07,13157.1]
[3763.98,13165.7]
[3761.44,13271.6]
[3752.07,13264.2]
[3766.16,13275.2]
[3756.75,13267.9]
[3759.18,13311.9]
[3763.72,13308]
[3754.66,13315.7]
[3750.14,13319.6]
[3751.02,13433.9]
[3779.22,13466.7]
[3752.94,13458.6]
[3766.43,13541.2]
[3767.9,13564]
[3770.41,13581.5]
[3770.4,13588.7]
[3752.46,13627.1]
[3776.65,13623.3]
[3771.98,13694.2]
[3764.56,13686.9]
[3776.82,13702.1]
[3769.94,13706.9]
[3778.77,13739.8]
[3757.48,13721.8]
[3755.24,13753.7]
[3769.05,13817.4]
[3765.99,13823.9]
[3756.76,13836.5]
[3766.26,13879]
[3771.39,13872.4]
[3754.37,13907.6]
[3764,14468.6]
[3764.76,17644.1]
[3753.37,17770.2]
[3763.07,17807.3]
[3778.45,17794.1]
[3770.81,17800.8]
[3752.6,20909.2]
[3764.89,21500.6]
[3798.95,10273.1]
[3789.37,10694.4]
[3799.64,10694.7]
[3805.9,10697.5]
[3785.7,10701.9]
[3802.5,10731]
[3785.98,10799.5]
[3805.76,11059.2]
[3793.33,11056.6]
[3792.2,11056.7]
[3795.32,11060.5]
[3807.82,11063]
[3805.47,11059.5]
[3805.23,11083.5]
[3783.42,11084]
[3805.36,11092]
[3803.6,11126.3]
[3798.01,11117.5]
[3785.19,11359.4]
[3799.19,11436.8]
[3805.76,11533.7]
[3804.8,11523]
[3805.58,11579]
[3801.83,11593.5]
[3809.97,11583.6]
[3796.59,11688.3]
[3793.76,11676.1]
[3795.73,11682.2]
[3800.1,11703.1]
[3793.8,11797.3]
[3803.46,11865]
[3792.51,11889.6]
[3782.16,12133.5]
[3806.54,12755.2]
[3798.13,12790.2]
[3780.49,13145.8]
[3786.46,13224.8]
[3808.57,13252.9]
[3776.62,13390.7]
[3798.07,13418.7]
[3788.09,13473.6]
[3781.82,13520.5]
[3790.17,13524.4]
[3789.56,13503.5]
[3804.57,13533.2]
[3787.67,13551]
[3780.43,13546.9]
[3798.07,13575.2]
[3806.66,13561.4]
[3793.6,13603.4]
[3781.12,13605.2]
[3804.81,13603.6]
[3797.07,13644.1]
[3792.9,13637.1]
[3805.01,13651]
[3783.49,13709.3]
[3796.93,13735.5]
[3800.64,13742.3]
[3799.55,13782.2]
[3803.9,13822.9]
[3794.38,13827.7]
[3797.92,13817.4]
[3810.03,13857.8]
[3802.41,13857.5]
[3789.53,13833.7]
[3801.45,14329.5]
[3781.81,14348.6]
[3791.7,14482.1]
[3794.95,14504.3]
[3801.18,14512.3]
[3802.05,17518.5]
[3791.1,17576.1]
[3801.6,17736.6]
[3790.47,21510]
[3794.28,21485]
[3815.58,10253.9]
[3834.32,10263.6]
[3833.48,11053.9]
[3834.32,11057.3]
[3831.74,11055]
[3838.15,11072.6]
[3814.88,11088.7]
[3838.3,11082.5]
[3832.23,11072.3]
[3832.42,11094.1]
[3812.41,11135.5]
[3823.62,11150.3]
[3817.37,11154.6]
[3817.26,11179.5]
[3832.09,11191.1]
[3832.21,11233.6]
[3837.59,11255.1]
[3829.73,11356.2]
[3832.43,11425.3]
[3819.42,11406.8]
[3837.83,11608.5]
[3824.78,11626.7]
[3819.04,11665.5]
[3815.91,11860.5]
[3824.54,11849.6]
[3831.67,11882.9]
[3827.08,12274.6]
[3832.31,12383]
[3815.35,12403]
[3829.5,12712]
[3819.25,12719.5]
[3825.02,12741]
[3836.43,12766.7]
[3830.29,12783.9]
[3839.29,12800.8]
[3822.2,12919.2]
[3812.75,13245.2]
[3835.91,13238]
[3817.12,13456.4]
[3818.39,13543.4]
[3831.94,13606.6]
[3836.96,13616.4]
[3812.01,13646.9]
[3825.5,13675]
[3816.34,13668.5]
[3835.97,13669]
[3810.88,13756.8]
[3833.68,13756.3]
[3833.07,13789.2]
[3836.64,13811]
[3828.56,13817.9]
[3819.11,13859.6]
[3832.81,13833]
[3818.76,14510.6]
[3840.22,14558.3]
[3837.73,14552]
[3837.39,17435.9]
[3830.26,17530.3]
[3821.38,17590.8]
[3831.46,17875.9]
[3815.52,20180]
[3833.61,20469.5]
[3850.93,10268.1]
[3857.38,10707.6]
[3864.17,10850.7]
[3854.23,11058.9]
[3845.61,11053.3]
[3845.26,11063]
[3847.08,11078.2]
[3857.96,11152.6]
[3858.54,11187.2]
[3857.67,11162.1]
[3857.7,11172.3]
[3849.11,11160.3]
[3855.01,11172.5]
[3857.69,11188.3]
[3859.85,11190.3]
[3855.22,11290]
[3844.07,11400.4]
[3846.94,11423.9]
[3858.17,11507.8]
[3861.9,11546.9]
[3864.68,11556.9]
[3854.55,11589.5]
[3861.52,11635.1]
[3866.33,11824.3]
[3841.34,11890]
