Type;X;Y
Land_Addon_04_V1_ruins_F;20979.4;11277.4
Land_Addon_04_V1_ruins_F;21662.7;7521.44
Land_Addon_04_V1_ruins_F;25517;21322.6
Land_Addon_04_V1_ruins_F;9322.75;20303.8
Land_Addon_04_V1_ruins_F;9444.73;20319.1
Land_Airport_Tower_F;14476.3;16308
Land_Airport_Tower_F;14529.1;16713.4
Land_Airport_Tower_F;14974.1;16964.3
Land_Airport_left_F;14605.9;16790
Land_Airport_right_F;14605.9;16790
Land_CarService_F;11410.4;14068.6
Land_CarService_F;11848.2;14149.4
Land_CarService_F;12036.8;15812.5
Land_CarService_F;14031.4;18758
Land_CarService_F;14168.2;16522.7
Land_CarService_F;14236;18317.4
Land_CarService_F;14594.3;17593.7
Land_CarService_F;15315.4;17593.2
Land_CarService_F;15785.8;11374.9
Land_CarService_F;16760.1;12503
Land_CarService_F;16834.1;15469.3
Land_CarService_F;17432.7;13942.6
Land_CarService_F;17477;14189.5
Land_CarService_F;19958.7;11429.7
Land_CarService_F;20766.3;16665.7
Land_CarService_F;21097;16806.4
Land_CarService_F;21236.2;7097.58
Land_CarService_F;23359.5;19809.1
Land_CarService_F;25688.7;21386.7
Land_CarService_F;3752.94;13458.6
Land_CarService_F;4005.9;13664.6
Land_CarService_F;4022.05;12591.8
Land_CarService_F;5054.46;14439.8
Land_CarService_F;6186.07;15091.9
Land_CarService_F;6797.6;15583.4
Land_CarService_F;8490.01;18274.3
Land_CarService_F;9032.96;15716.6
Land_CarService_F;9397.29;16016.4
Land_Cargo_HQ_V1_F;14188.7;16311.4
Land_Cargo_HQ_V1_F;15190.9;17366.2
Land_Cargo_HQ_V1_F;15361.3;15887.1
Land_Cargo_HQ_V1_F;15460.3;15751
Land_Cargo_HQ_V1_F;15934.8;17032.9
Land_Cargo_HQ_V1_F;16038.1;17122.9
Land_Cargo_HQ_V1_F;17442.2;13099.2
Land_Cargo_HQ_V1_F;17442.6;13210.9
Land_Cargo_HQ_V1_F;17492.6;13156.4
Land_Cargo_HQ_V1_F;20964.1;19197
Land_Cargo_HQ_V1_F;23636.1;21078.3
Land_Cargo_HQ_V3_F;12843.5;16680.1
Land_Cargo_HQ_V3_F;14193.3;21195.1
Land_Cargo_HQ_V3_F;14336.7;13046.1
Land_Cargo_HQ_V3_F;20097;6725.5
Land_Cargo_House_V1_F;10011.9;11222.8
Land_Cargo_House_V1_F;10014.8;11229.3
Land_Cargo_House_V1_F;12289;8867.37
Land_Cargo_House_V1_F;12290.9;8940.05
Land_Cargo_House_V1_F;12455.8;15206.2
Land_Cargo_House_V1_F;13092;16339.3
Land_Cargo_House_V1_F;13820.5;18946.2
Land_Cargo_House_V1_F;13826;18951.6
Land_Cargo_House_V1_F;13837.8;18963
Land_Cargo_House_V1_F;14125.6;16249.4
Land_Cargo_House_V1_F;14129.7;16262
Land_Cargo_House_V1_F;14135.3;16275.1
Land_Cargo_House_V1_F;14138.3;16250.6
Land_Cargo_House_V1_F;14142.8;16287
Land_Cargo_House_V1_F;14144.3;16262.3
Land_Cargo_House_V1_F;14179.9;16325.8
Land_Cargo_House_V1_F;14184.8;16225.9
Land_Cargo_House_V1_F;14191.5;16239.8
Land_Cargo_House_V1_F;14199.1;16255.8
Land_Cargo_House_V1_F;14958.3;16284.1
Land_Cargo_House_V1_F;15137.7;17341.1
Land_Cargo_House_V1_F;15144.4;17330.4
Land_Cargo_House_V1_F;15145.8;17349.6
Land_Cargo_House_V1_F;15153.5;17320.8
Land_Cargo_House_V1_F;15161.4;17317.4
Land_Cargo_House_V1_F;15170.6;17325.4
Land_Cargo_House_V1_F;15178.3;17514.3
Land_Cargo_House_V1_F;15282.9;17497.4
Land_Cargo_House_V1_F;15283.1;15858.3
Land_Cargo_House_V1_F;15297.1;15896.7
Land_Cargo_House_V1_F;15345.5;16214.4
Land_Cargo_House_V1_F;15488.4;15895.9
Land_Cargo_House_V1_F;15929;17067
Land_Cargo_House_V1_F;15933.5;17014.1
Land_Cargo_House_V1_F;15933.7;17058.8
Land_Cargo_House_V1_F;15938.1;17072.2
Land_Cargo_House_V1_F;15938.5;17051
Land_Cargo_House_V1_F;15943;17063.9
Land_Cargo_House_V1_F;15944.3;17014
Land_Cargo_House_V1_F;15947.2;17055.3
Land_Cargo_House_V1_F;15952.8;17080.5
Land_Cargo_House_V1_F;15954.6;17013.9
Land_Cargo_House_V1_F;15956.2;17028.9
Land_Cargo_House_V1_F;15956.3;17037.7
Land_Cargo_House_V1_F;15958;17072.2
Land_Cargo_House_V1_F;15980.4;17100.8
Land_Cargo_House_V1_F;15986.9;17090.2
Land_Cargo_House_V1_F;15996.1;17109.2
Land_Cargo_House_V1_F;16001.2;16982.7
Land_Cargo_House_V1_F;16002.2;17098.8
Land_Cargo_House_V1_F;16003.9;17113.8
Land_Cargo_House_V1_F;16010.1;17103.8
Land_Cargo_House_V1_F;16018.9;17124
Land_Cargo_House_V1_F;16024.8;17114.6
Land_Cargo_House_V1_F;16141.3;17074
Land_Cargo_House_V1_F;16188;17020.9
Land_Cargo_House_V1_F;16562.7;18999.5
Land_Cargo_House_V1_F;16602.8;18993.4
Land_Cargo_House_V1_F;16608.3;19046.4
Land_Cargo_House_V1_F;16641.9;12277.1
Land_Cargo_House_V1_F;16651.4;12275.4
Land_Cargo_House_V1_F;16660.7;12274.6
Land_Cargo_House_V1_F;16836.7;12062.6
Land_Cargo_House_V1_F;17321.2;13177.5
Land_Cargo_House_V1_F;17327.6;13170
Land_Cargo_House_V1_F;17341.3;13207.2
Land_Cargo_House_V1_F;17342;13180.9
Land_Cargo_House_V1_F;17347.4;13199.4
Land_Cargo_House_V1_F;17347.6;13212.8
Land_Cargo_House_V1_F;17348.4;13173.8
Land_Cargo_House_V1_F;17353.5;13192.2
Land_Cargo_House_V1_F;17353.6;13204.9
Land_Cargo_House_V1_F;17359.5;13197.8
Land_Cargo_House_V1_F;17359.8;13185
Land_Cargo_House_V1_F;17365.6;13215.9
Land_Cargo_House_V1_F;17366.1;13190.6
Land_Cargo_House_V1_F;17371.6;13208.7
Land_Cargo_House_V1_F;17371.8;13221.4
Land_Cargo_House_V1_F;17377.7;13214.3
Land_Cargo_House_V1_F;17377.9;13201.6
Land_Cargo_House_V1_F;17384.2;13207.1
Land_Cargo_House_V1_F;17406.4;13088.2
Land_Cargo_House_V1_F;17412.6;13080.5
Land_Cargo_House_V1_F;17418.8;13073.5
Land_Cargo_House_V1_F;17424.6;13227.4
Land_Cargo_House_V1_F;17425.5;13066.6
Land_Cargo_House_V1_F;17427.8;13088.3
Land_Cargo_House_V1_F;17431.2;13234.3
Land_Cargo_House_V1_F;17434.6;13081.4
Land_Cargo_House_V1_F;17449.9;13191.5
Land_Cargo_House_V1_F;17455.3;13227.4
Land_Cargo_House_V1_F;17455.5;13185.4
Land_Cargo_House_V1_F;17456.9;13197.5
Land_Cargo_House_V1_F;17460.4;13123.3
Land_Cargo_House_V1_F;17462.6;13191.6
Land_Cargo_House_V1_F;17462;13220.1
Land_Cargo_House_V1_F;17463.9;13204.2
Land_Cargo_House_V1_F;17469.7;13198
Land_Cargo_House_V1_F;17479.2;13087.3
Land_Cargo_House_V1_F;17485.6;13079.6
Land_Cargo_House_V1_F;17517.5;13168.5
Land_Cargo_House_V1_F;17524.3;13161.6
Land_Cargo_House_V1_F;17530.4;13154.7
Land_Cargo_House_V1_F;17536.7;13146.9
Land_Cargo_House_V1_F;20336.8;18771.1
Land_Cargo_House_V1_F;20580.3;18820.1
Land_Cargo_House_V1_F;20949.3;19170.7
Land_Cargo_House_V1_F;20959.1;19169.7
Land_Cargo_House_V1_F;20969.5;19168.8
Land_Cargo_House_V1_F;20979.4;19168.3
Land_Cargo_House_V1_F;20989.3;19167.6
Land_Cargo_House_V1_F;20997.3;19197.5
Land_Cargo_House_V1_F;20997.3;19207.2
Land_Cargo_House_V1_F;20997.5;19177.9
Land_Cargo_House_V1_F;20997.5;19187.3
Land_Cargo_House_V1_F;20997;19216.7
Land_Cargo_House_V1_F;21021.9;18989.6
Land_Cargo_House_V1_F;23439.5;21148.2
Land_Cargo_House_V1_F;23511.1;21174.5
Land_Cargo_House_V1_F;23517.9;21173.1
Land_Cargo_House_V1_F;23530.2;21167.7
Land_Cargo_House_V1_F;23573.6;21144.8
Land_Cargo_House_V1_F;6817.03;16057.8
Land_Cargo_House_V1_F;8307.56;10052.1
Land_Cargo_House_V1_F;8311.25;10046.4
Land_Cargo_House_V1_F;8361.58;18248.6
Land_Cargo_House_V1_F;8381.48;18256.6
Land_Cargo_House_V1_F;9744.7;22298.3
Land_Cargo_House_V1_F;9761.95;22320.4
Land_Cargo_House_V2_F;12717.4;16715.6
Land_Cargo_House_V2_F;12723.3;16398
Land_Cargo_House_V2_F;12865.8;16771.8
Land_Cargo_House_V2_F;13710.7;15213.5
Land_Cargo_House_V2_F;15160.5;18111.7
Land_Cargo_House_V2_F;15401;11343.1
Land_Cargo_House_V2_F;18081.1;19196.1
Land_Cargo_House_V2_F;18443.7;15275.4
Land_Cargo_House_V2_F;22588.2;16772.8
Land_Cargo_House_V2_F;23003.3;7270.15
Land_Cargo_House_V2_F;23008.7;7273.78
Land_Cargo_House_V2_F;23681.2;21011.4
Land_Cargo_House_V2_F;25272.2;21655.1
Land_Cargo_House_V3_F;12515.7;12733.9
Land_Cargo_House_V3_F;12796.6;16689.9
Land_Cargo_House_V3_F;12799;16620.4
Land_Cargo_House_V3_F;12823.5;16647
Land_Cargo_House_V3_F;14172.5;21228.8
Land_Cargo_House_V3_F;14218.6;21202.3
Land_Cargo_House_V3_F;14231;21245.9
Land_Cargo_House_V3_F;14234.2;21235.8
Land_Cargo_House_V3_F;14280.5;13007.4
Land_Cargo_House_V3_F;14287;13007.5
Land_Cargo_House_V3_F;14321.8;13060.3
Land_Cargo_House_V3_F;14328.4;13060.3
Land_Cargo_House_V3_F;18321.6;15274.2
Land_Cargo_House_V3_F;20048.9;6630.27
Land_Cargo_House_V3_F;20074.1;6727.71
Land_Cargo_House_V3_F;20090.1;6710.67
Land_Cargo_House_V3_F;20590.5;20124.1
Land_Cargo_House_V3_F;5231.49;14202.1
Land_Cargo_House_V3_F;5240.46;14199.7
Land_Cargo_House_V3_F;5285.87;14204.5
Land_Cargo_House_V3_F;9934.46;19420.1
Land_Cargo_House_V3_F;9965.83;19368.3
Land_Cargo_House_V3_F;9977.36;19366.5
Land_Cargo_Patrol_V1_F;10000.4;11234
Land_Cargo_Patrol_V1_F;10004.4;11209.7
Land_Cargo_Patrol_V1_F;10035.4;11257.5
Land_Cargo_Patrol_V1_F;12306.7;8884.81
Land_Cargo_Patrol_V1_F;13773;18956.5
Land_Cargo_Patrol_V1_F;13832.6;18993.4
Land_Cargo_Patrol_V1_F;14156.8;16305.8
Land_Cargo_Patrol_V1_F;14198.5;16397.3
Land_Cargo_Patrol_V1_F;15165.8;17369.4
Land_Cargo_Patrol_V1_F;15188;17524.8
Land_Cargo_Patrol_V1_F;15280.5;15893.7
Land_Cargo_Patrol_V1_F;15358.6;16216.5
Land_Cargo_Patrol_V1_F;15372.2;15851.1
Land_Cargo_Patrol_V1_F;15481.7;15912.8
Land_Cargo_Patrol_V1_F;15911.9;17055.9
Land_Cargo_Patrol_V1_F;15973.4;16978.9
Land_Cargo_Patrol_V1_F;15999.2;16831.1
Land_Cargo_Patrol_V1_F;16053.7;17143.8
Land_Cargo_Patrol_V1_F;16109.5;16828.4
Land_Cargo_Patrol_V1_F;16157.7;16913.6
Land_Cargo_Patrol_V1_F;16561.7;18959.8
Land_Cargo_Patrol_V1_F;16638.6;12316
Land_Cargo_Patrol_V1_F;17373.7;13113.9
Land_Cargo_Patrol_V1_F;17414.3;13282.6
Land_Cargo_Patrol_V1_F;17444.1;13039.1
Land_Cargo_Patrol_V1_F;17508.2;13183.6
Land_Cargo_Patrol_V1_F;17552.3;13135.2
Land_Cargo_Patrol_V1_F;17638.1;17298.1
Land_Cargo_Patrol_V1_F;20348.5;18760
Land_Cargo_Patrol_V1_F;20597.7;18799.6
Land_Cargo_Patrol_V1_F;20629.9;18809.6
Land_Cargo_Patrol_V1_F;20631.8;19406.1
Land_Cargo_Patrol_V1_F;20822.1;19184
Land_Cargo_Patrol_V1_F;20912.6;19361.6
Land_Cargo_Patrol_V1_F;21004.4;19287
Land_Cargo_Patrol_V1_F;21014.1;18974.1
Land_Cargo_Patrol_V1_F;21016.9;19144.4
Land_Cargo_Patrol_V1_F;21069.2;19312.9
Land_Cargo_Patrol_V1_F;23442.7;21176
Land_Cargo_Patrol_V1_F;23560.7;21204.3
Land_Cargo_Patrol_V1_F;23625.1;21060
Land_Cargo_Patrol_V1_F;23715.1;21112.4
Land_Cargo_Patrol_V1_F;23730.9;21008.2
Land_Cargo_Patrol_V1_F;25328;21782.9
Land_Cargo_Patrol_V1_F;4616.19;15477.5
Land_Cargo_Patrol_V1_F;6860.89;16054.2
Land_Cargo_Patrol_V1_F;8323.73;10076.1
Land_Cargo_Patrol_V1_F;8361.83;18241.6
Land_Cargo_Patrol_V1_F;9704.02;22320.5
Land_Cargo_Patrol_V2_F;12467.2;15208.3
Land_Cargo_Patrol_V2_F;12800.3;16736.7
Land_Cargo_Patrol_V2_F;12903.3;16681.6
Land_Cargo_Patrol_V2_F;12920.1;16769.6
Land_Cargo_Patrol_V2_F;13760.4;15167.2
Land_Cargo_Patrol_V2_F;14010.3;12971.7
Land_Cargo_Patrol_V2_F;18097.6;19190.3
Land_Cargo_Patrol_V2_F;22650.1;16857.1
Land_Cargo_Patrol_V2_F;22991.1;7256.46
Land_Cargo_Patrol_V3_F;12548;12761.6
Land_Cargo_Patrol_V3_F;14196.7;21247.5
Land_Cargo_Patrol_V3_F;14305.8;13067.8
Land_Cargo_Patrol_V3_F;14327.8;13013.7
Land_Cargo_Patrol_V3_F;20062.6;6730.71
Land_Cargo_Patrol_V3_F;20088.6;6744.3
Land_Cargo_Patrol_V3_F;20735.3;20109.9
Land_Cargo_Patrol_V3_F;5213.32;14182.6
Land_Cargo_Patrol_V3_F;5502.46;14323.9
Land_Cargo_Patrol_V3_F;9977.54;19345.7
Land_Cargo_Patrol_V3_ruins_F;14371;13061.5
Land_Cargo_Tower_V1_F;12304.7;8867.68
Land_Cargo_Tower_V1_F;13808.5;18967.4
Land_Cargo_Tower_V1_F;15517.7;15767.8
Land_Cargo_Tower_V1_F;16590.6;19041.6
Land_Cargo_Tower_V1_F;16839.5;12044.1
Land_Cargo_Tower_V1_F;17314.2;13185.2
Land_Cargo_Tower_V1_F;17475.9;13071.8
Land_Cargo_Tower_V1_F;17478.1;13210.2
Land_Cargo_Tower_V1_F;21050.3;19296.9
Land_Cargo_Tower_V1_F;23485.1;21095.7
Land_Cargo_Tower_V1_F;3898.33;12295.6
Land_Cargo_Tower_V1_F;6829.24;16050.2
Land_Cargo_Tower_V1_F;8319.73;10057.5
Land_Cargo_Tower_V1_F;8409.97;18245.3
Land_Cargo_Tower_V3_F;12443.3;15195.3
Land_Cargo_Tower_V3_F;12795;16705.1
Land_Cargo_Tower_V3_F;12815.3;16633.5
Land_Cargo_Tower_V3_F;14227.7;21210.6
Land_Cargo_Tower_V3_F;14296;13031.5
Land_Cargo_Tower_V3_F;20601.7;20131.5
Land_Crane_F;11429.3;14276.8
Land_Crane_F;3776.62;13390.7
Land_Factory_Main_F;14318.3;18939.9
Land_Factory_Main_F;14360.6;18989.6
Land_Factory_Main_F;5378.34;17893.5
Land_Factory_Main_F;6212.88;16277.4
Land_Factory_Main_F;6276.99;16274.5
Land_Factory_Main_F;9552.73;15080.6
Land_GH_Gazebo_F;21849;20930.3
Land_GH_Gazebo_F;21873.4;20904
Land_GH_Gazebo_F;21923.6;20996.6
Land_GH_Gazebo_F;22071.4;21051.6
Land_GH_House_1_F;21675.2;20966.5
Land_GH_House_1_F;21685.6;20957
Land_GH_House_1_F;21692.2;20936.6
Land_GH_House_1_F;21718.5;20978.8
Land_GH_House_1_F;21726.3;21000.1
Land_GH_House_1_F;21744.1;21023.8
Land_GH_House_1_F;21759.3;20953.7
Land_GH_House_1_F;21763.9;21003
Land_GH_House_1_F;21793.2;20975.2
Land_GH_House_1_F;21795;21039.5
Land_GH_House_1_F;21817.7;21048.4
Land_GH_House_1_F;21842.2;21048.3
Land_GH_House_1_F;21843.2;21006.2
Land_GH_House_1_F;21860;21038.7
Land_GH_House_1_F;21868.5;20999.7
Land_GH_House_1_F;21886.8;21041.8
Land_GH_House_2_F;21662.4;20943.1
Land_GH_House_2_F;21734.8;20979.4
Land_GH_House_2_F;21741.7;21007
Land_GH_House_2_F;21751.8;21030.8
Land_GH_House_2_F;21764.2;21045.2
Land_GH_House_2_F;21782.7;21038.2
Land_GH_House_2_F;21797.8;20992.3
Land_GH_House_2_F;21805.2;21052.8
Land_GH_House_2_F;21809.9;21001.3
Land_GH_House_2_F;21826.4;20993.8
Land_GH_House_2_F;21830.6;21043.7
Land_GH_House_2_F;21853.6;21001.5
Land_GH_House_2_F;21873;21046.5
Land_GH_MainBuilding_left_F;21971.2;21026
Land_GH_MainBuilding_right_F;21971.4;21025.9
Land_Garage_V1_ruins_F;11227;13219.9
Land_Hangar_F;11562.7;11967.9
Land_Hangar_F;15082.6;17235
Land_Hangar_F;15104;17257.4
Land_Hangar_F;26757.1;24652.8
Land_Hospital_side1_F;3748.25;13004.4
Land_Hospital_side2_F;3748.13;13004.4
Land_House_Big_01_V1_ruins_F;16836.7;12779.5
Land_House_Big_01_V1_ruins_F;17014.2;12923.2
Land_House_Big_01_V1_ruins_F;20174.7;8812.98
Land_House_Big_01_V1_ruins_F;20651.2;8884.43
Land_House_Big_01_V1_ruins_F;20823.2;6721.4
Land_House_Big_01_V1_ruins_F;4994.05;11355.2
Land_House_Big_01_V1_ruins_F;5134.67;11171.3
Land_House_Big_01_V1_ruins_F;5213.96;11134.4
Land_House_Big_01_V1_ruins_F;5813.1;15297.2
Land_House_Big_02_V1_ruins_F;10135;12544.5
Land_House_Big_02_V1_ruins_F;11094.1;13142.8
Land_House_Big_02_V1_ruins_F;11181.8;11452.3
Land_House_Big_02_V1_ruins_F;11464.9;13659.6
Land_House_Big_02_V1_ruins_F;11677.2;12740.5
Land_House_Big_02_V1_ruins_F;14098.9;18403.6
Land_House_Big_02_V1_ruins_F;16165.9;17222.2
Land_House_Big_02_V1_ruins_F;5777.02;15262.1
Land_House_Big_02_V1_ruins_F;9657.83;12464.7
Land_House_Small_01_V1_ruins_F;11156;14649.7
Land_House_Small_01_V1_ruins_F;11303.3;15525.3
Land_House_Small_01_V1_ruins_F;12707.2;14501.4
Land_House_Small_01_V1_ruins_F;13953.5;19017.4
Land_House_Small_01_V1_ruins_F;14046.2;17877.6
Land_House_Small_01_V1_ruins_F;14366.8;18386.9
Land_House_Small_01_V1_ruins_F;14373.2;17609.9
Land_House_Small_01_V1_ruins_F;14383.1;17730.3
Land_House_Small_01_V1_ruins_F;14542.7;20799.8
Land_House_Small_01_V1_ruins_F;14604.1;20731.2
Land_House_Small_01_V1_ruins_F;14762.2;20782.5
Land_House_Small_01_V1_ruins_F;16061.9;17255.6
Land_House_Small_01_V1_ruins_F;16175.7;17194.3
Land_House_Small_01_V1_ruins_F;16398.4;17320.5
Land_House_Small_01_V1_ruins_F;16449.2;17123.1
Land_House_Small_01_V1_ruins_F;16450.5;17054.1
Land_House_Small_01_V1_ruins_F;16450;17495.6
Land_House_Small_01_V1_ruins_F;16600.1;17233.6
Land_House_Small_01_V1_ruins_F;16707.3;12338.7
Land_House_Small_01_V1_ruins_F;16866.8;11531.8
Land_House_Small_01_V1_ruins_F;17249.2;12490.8
Land_House_Small_01_V1_ruins_F;17483.2;12301.1
Land_House_Small_01_V1_ruins_F;20047.9;11648.4
Land_House_Small_01_V1_ruins_F;20315.2;8763.15
Land_House_Small_01_V1_ruins_F;20364.2;19488.9
Land_House_Small_01_V1_ruins_F;20532.9;11599.6
Land_House_Small_01_V1_ruins_F;21178;19484.1
Land_House_Small_01_V1_ruins_F;21328.2;16995.8
Land_House_Small_01_V1_ruins_F;21617.7;7493.95
Land_House_Small_01_V1_ruins_F;21634.9;7441.62
Land_House_Small_01_V1_ruins_F;22582.2;16356.8
Land_House_Small_01_V1_ruins_F;25528.7;21147.8
Land_House_Small_01_V1_ruins_F;26983.5;23108.1
Land_House_Small_01_V1_ruins_F;4163.87;14150.6
Land_House_Small_01_V1_ruins_F;4222.06;13581.7
Land_House_Small_01_V1_ruins_F;4374.59;14466.8
Land_House_Small_01_V1_ruins_F;4973.75;11364.5
Land_House_Small_01_V1_ruins_F;5234.1;13514
Land_House_Small_01_V1_ruins_F;5781.11;13947.9
Land_House_Small_01_V1_ruins_F;5800.84;15375.8
Land_House_Small_01_V1_ruins_F;6904.05;22165.8
Land_House_Small_01_V1_ruins_F;7155.15;11071.9
Land_House_Small_01_V1_ruins_F;9425.77;14629.8
Land_House_Small_01_V1_ruins_F;9664.18;16007.3
Land_House_Small_02_V1_ruins_F;10110.9;14051.9
Land_House_Small_02_V1_ruins_F;10551.1;12300.9
Land_House_Small_02_V1_ruins_F;10866.3;15864
Land_House_Small_02_V1_ruins_F;10936.1;13125.7
Land_House_Small_02_V1_ruins_F;11031.7;13632.4
Land_House_Small_02_V1_ruins_F;11587.6;16152.4
Land_House_Small_02_V1_ruins_F;11772.4;14436.5
Land_House_Small_02_V1_ruins_F;12692.2;14526.4
Land_House_Small_02_V1_ruins_F;13730.1;18665.4
Land_House_Small_02_V1_ruins_F;14095;18333.6
Land_House_Small_02_V1_ruins_F;14200.4;18453.7
Land_House_Small_02_V1_ruins_F;14201.6;17376.3
Land_House_Small_02_V1_ruins_F;14263.3;18703.1
Land_House_Small_02_V1_ruins_F;14305.3;17977.4
Land_House_Small_02_V1_ruins_F;14348.9;17742.7
Land_House_Small_02_V1_ruins_F;14448.6;17417.1
Land_House_Small_02_V1_ruins_F;14650.1;17756.2
Land_House_Small_02_V1_ruins_F;14840.9;19090.4
Land_House_Small_02_V1_ruins_F;15875;18121.9
Land_House_Small_02_V1_ruins_F;16003.5;17309.8
Land_House_Small_02_V1_ruins_F;16103.6;18345.6
Land_House_Small_02_V1_ruins_F;16164.9;17202.3
Land_House_Small_02_V1_ruins_F;16307.4;17129.9
Land_House_Small_02_V1_ruins_F;16320.7;17024.2
Land_House_Small_02_V1_ruins_F;16372.6;20216.1
Land_House_Small_02_V1_ruins_F;16395;17132.7
Land_House_Small_02_V1_ruins_F;16401.3;17118.4
Land_House_Small_02_V1_ruins_F;16619.5;17208.2
Land_House_Small_02_V1_ruins_F;17412.3;16690.4
Land_House_Small_02_V1_ruins_F;18441.7;18052.2
Land_House_Small_02_V1_ruins_F;19075.7;18472.2
Land_House_Small_02_V1_ruins_F;19283.8;17578.1
Land_House_Small_02_V1_ruins_F;19291.3;13513.7
Land_House_Small_02_V1_ruins_F;20010.3;18761.7
Land_House_Small_02_V1_ruins_F;20297.7;19536.2
Land_House_Small_02_V1_ruins_F;20337;19509.2
Land_House_Small_02_V1_ruins_F;20372.4;19466.8
Land_House_Small_02_V1_ruins_F;20390.2;19448.9
Land_House_Small_02_V1_ruins_F;21232.4;16644.7
Land_House_Small_02_V1_ruins_F;21444.5;19538.1
Land_House_Small_02_V1_ruins_F;21597;7659.38
Land_House_Small_02_V1_ruins_F;21729.9;7644.4
Land_House_Small_02_V1_ruins_F;21776.3;7696.67
Land_House_Small_02_V1_ruins_F;22409.5;17064.8
Land_House_Small_02_V1_ruins_F;22862.9;17191.6
Land_House_Small_02_V1_ruins_F;23143.8;20024.6
Land_House_Small_02_V1_ruins_F;25106.5;20923
Land_House_Small_02_V1_ruins_F;25525.3;21132.9
Land_House_Small_02_V1_ruins_F;25748.2;23200
Land_House_Small_02_V1_ruins_F;26889.3;23437.5
Land_House_Small_02_V1_ruins_F;27075;23040.8
Land_House_Small_02_V1_ruins_F;27277.8;24810.9
Land_House_Small_02_V1_ruins_F;4741.35;10508.1
Land_House_Small_02_V1_ruins_F;4757.14;10196.4
Land_House_Small_02_V1_ruins_F;4873.32;11520.7
Land_House_Small_02_V1_ruins_F;5344.29;14035.9
Land_House_Small_02_V1_ruins_F;8267.84;15050.6
Land_House_Small_02_V1_ruins_F;8603.68;15469.9
Land_House_Small_02_V1_ruins_F;8968.17;12151.8
Land_House_Small_02_V1_ruins_F;9181.75;11061.5
Land_House_Small_02_V1_ruins_F;9444.87;14643.1
Land_House_Small_02_V1_ruins_F;9880.84;14182.9
Land_House_Small_02_V1_ruins_F;9881.61;12648.3
Land_Metal_Shed_F;10038.2;18693.5
Land_Metal_Shed_F;10085.6;19815.3
Land_Metal_Shed_F;10103.7;7429.93
Land_Metal_Shed_F;10117.6;8854.69
Land_Metal_Shed_F;10135.5;12675.8
Land_Metal_Shed_F;10232.5;19312.9
Land_Metal_Shed_F;10282.4;13753.3
Land_Metal_Shed_F;10297.4;7562.31
Land_Metal_Shed_F;10327.4;15967.2
Land_Metal_Shed_F;10359.4;18030.4
Land_Metal_Shed_F;10363.2;19085.9
Land_Metal_Shed_F;10437.1;19140.3
Land_Metal_Shed_F;10519.1;9469.34
Land_Metal_Shed_F;10553.3;12351.2
